technische|technisch
Favoritenstrasse|Fav.strasse
Josefgasse|Josephgasse
thisshouldbeone|thisshouldbeone
thisshouldntbeone|thisshouldbeone
howmanymoreinputs|howmanyinputs
ErzherzogKarl|erzherzogkarl
abcdefgh|xyzabc
similarity|simultaneous
transparent|transverse
Stephansdom|Steffl
galaxyS4|HTCOne
galaxyOne|HTCOne
homogeneous|heterogenous
identical|different
oneandthesame|HTCOne
interchangeable|change
matching|unmatched
exact|opposite
exact|intact
collateral|principal
major|minor
similar|dissimilar
independent|dependent
Michael|Mike
Michael|Mickael
Michel|Michael
starvation|salvation
supersized|downsized
blasphemy|alchemy
